Timestamp,Which age group do you belong to?,What is your employment status?,Which part of the year did you visit USS?,Who did you visit USS with?,What was the main purpose of your visit?,What factors influenced your decision to visit USS? Select all that apply,What concerns did you have before deciding to visit USS?,"On a scale of 1-5, how would you rate your overall experience at USS?",What was the highlight of your visit?,How would you describe USS' brand image before visiting?,How did you first hear about Universal Studios Singapore?,"How easy was it to find relevant information about USS online (ticket pricing, attractions, events, etc.)?",Have you seen any recent advertisements or promotions for USS?,What type of promotions or discounts would encourage you to visit USS?,Did you visit the USS website while planning your trip?,"How easy was it to navigate the USS website to find information about tickets, attractions, and events?","Did the website provide clear and sufficient information about ticket prices, promotions, and park rules?",What features would improve your experience on the USS website? (Select all that apply),Did you use the USS mobile app before your visit?,"If you used the USS app, how would you rate its ease of use?",What USS app features did you find most helpful? (Select all that apply)  ,What feedback/suggestions would you like to provide for USS website/app?,Which ride or attraction was your favourite?,Why this attraction in particular? ,Which ride or attraction have you had bad experiences with (if any)? ,What made your experience with this ride or attraction unpleasant? ,"Did you experience any rides with longer-than-expected wait times? If yes, which ride(s)?",How long did you wait in line for rides on average during your visit?,"Did you feel that overall, the queueing time was worth the experience of the attraction? ", Were the shows and performances engaging and enjoyable?  ,Did you find the price of the general admission ticket reasonable for the experience provided?,Did you purchase the Express Pass?,"If you purchased the Express Pass, how would you rate the value of the Express Pass in relation to the experience it provided?",Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Waiting times],Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Ride variety ],"Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Ride experience (quality, theme, etc.)]","Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Overall park experience (atmosphere, entertainment, etc.)]",Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Customer Service], Did you find a good variety of food options?  ,Were there enough affordable and accessible meal choices?  ,Were there enough kid-friendly meal choices?, How would you rate the food quality and service?  ,Did you stay at a nearby hotel or within Resorts World Sentosa?   ,"If you booked a nearby accommodation, how was the experience? ",Was the accommodation convenient and family-friendly?  ,Have you reached out to USS customer service before your visit?,"If you interacted with USS customer service, how satisfied were you with the response time and assistance?",Were the park staff at USS friendly and helpful? Rate on a scale from 1-5.,"Did you encounter any issues that required assistance, and how were they handled?  ",Would you choose to revisit USS?,"If you answered 'No' or 'Maybe', please explain why. ",What changes or improvements would make your next visit better?  ,Would you recommend USS to others?,Please state your reason for the previous question.
2/15/2025 18:46:54,25 - 34 years old,Employed,October - December,Friends,Social gathering,"Reputation as a top theme park in Asia, Friends or family recommendations, Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Live shows and entertainment, Overall park atmosphere and theme",,,,,,,,,,,,,,HUMAN,Very exciting!,,,Transformers,More than 90 minutes,2,4,Yes,No,3,4,2,1,3,5,Yes,No,Yes,4,No,NIL,No,"No, I did not",1,4,NIL,Yes,,Shorter queue time,Yes,It's one of the best amusement parks in the region
2/15/2025 18:59:55,18 - 24 years old,Student,April - June,Romantic partner,Date/Romantic experience,Friends or family recommendations,Ticket pricing and affordability,4,"Thrilling rides, Overall park atmosphere and theme",,,,,,,,,,,,,,HUMAN,Sick drop,Sesame Street Spaghetti Space Chase,Im too old for this ride HAH,"HUMAN, CYLON",46 to 60 minutes,3,4,Yes,No,3,2,4,1,3,5,No,Yes,Yes,4,No,Nil,No,"No, I did not",3,3,Nil,Yes,,More shelter between rides,Yes,Funz
2/15/2025 19:02:50,18 - 24 years old,Student,Can't recall / Not sure,Family (including children),Family outing,"Positive online reviews, Reputation as a top theme park in Asia, Friends or family recommendations, Social media content (Instagram, Youtube, Tiktok, etc)","Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices",4,"Thrilling rides, Overall park atmosphere and theme",,,,,,,,,,,,,,Transformers,I am a big fans of transformer,NA,,NA,31 to 45 minutes,4,4,Yes,No,3,1,2,3,4,5,Yes,No,No,3,No,NIL,Yes,"No, I did not",3,3,NIL,Maybe,Depend on the situation or if there any invitation from friends since I won't go there alone,Affordable foods,Yes,I had a great time there before
2/15/2025 19:04:53,18 - 24 years old,Student,October - December,"Friends, Romantic partner",Social gathering,Special events or themed attractions,"Ride wait times and crowd levels, Food options and prices",4,"Thrilling rides, Overall park atmosphere and theme",,,,,,,,,,,,,,CYLON,i like roller coasters ,Transformers,ride broke down in the middle of my experience,"HUMAN, CYLON, Revenge of the Mummy",46 to 60 minutes,3,4,No,No,3,5,2,1,3,4,Yes,Yes,Yes,4,No,NIL,Yes,"No, I did not",,,NIL,Yes,,"more rides, but sg has land constraints",Yes,its a fun and enjoyable experience in this small island
2/15/2025 19:58:24,18 - 24 years old,Student,Can't recall / Not sure,Family (including children),Family outing,Reputation as a top theme park in Asia,"Ticket pricing and affordability, Ride wait times and crowd levels",3,"Live shows and entertainment, Overall park atmosphere and theme",,,,,,,,,,,,,,Sesame Street Spaghetti Space Chase,"I was quite young when I last visited, so this was one of the rides that my family could enjoy as a whole",,,NA,15 to 30 minutes,4,4,No,No,,4,3,2,1,5,Yes,No,Yes,3,Yes,really nice hotel with numerous activities,Yes,"No, I did not",,,NIL,Maybe,"Ticket prices are high?, especially considering my status as a student",More ticket discount options,Yes,"It’s still a really fun and memorable place to be in, regardless of the ticket prices"
2/15/2025 20:34:17,18 - 24 years old,Student,Can't recall / Not sure,Family (adults only),Family outing,Reputation as a top theme park in Asia,Ride wait times and crowd levels,4,"Thrilling rides, Live shows and entertainment",,,,,,,,,,,,,,Revenge of the Mummy,Thrilling,Puss in Boots,For kids,Transformers,31 to 45 minutes,4,4,Yes,No,3,2,3,4,5,1,No,No,Yes,3,No,NIL,No,"No, I did not",3,3,NIL,Maybe,"Nothing new, would rather visit other country ",more themes ,Yes,Kinda only theme park we have in Singapore
2/15/2025 20:56:57,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,"Friends or family recommendations, Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",3,Overall park atmosphere and theme,High quality and premium entertainment,Social media,3,"Yes, but they did not influence my decision","Discounted tickets, Family/group discounts",No,,Not applicable (Did not use the website),"Better mobile optimisation, Faster loading times, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Not applicable (Did not use the website),,Revenge of the Mummy,I liked the theme,,,,31 to 45 minutes,2,3,Yes,No,,1,4,2,5,3,No,No,,2,No,NIL,Not applicable,"No, I did not",,3,NIL,Maybe,"I will only go if my friends want to go, I am not really a fan of theme parks.","More shelters or cooling areas? The weather is really hot and humid in Singapore, waiting in this weather makes the experience worse.",No,I am not a fan of theme parks
2/15/2025 21:03:39,18 - 24 years old,Student,Can't recall / Not sure,Family (including children),Family outing,Friends or family recommendations,Ride wait times and crowd levels,4,"Thrilling rides, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,4,"No, I haven't seen any ads","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Family/group discounts",No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the website),,Canopy Flyer,I liked the feeling of flying,,,,15 to 30 minutes,4,,Yes,No,,4,5,3,1,2,Yes,Yes,,4,No,NIL,Not applicable,"No, I did not",,,NIL,Yes,,NIL,Yes,Sg has too few attractions
2/15/2025 21:15:03,18 - 24 years old,Student,October - December,Friends,Social gathering,"Positive online reviews, Reputation as a top theme park in Asia, Friends or family recommendations, Social media content (Instagram, Youtube, Tiktok, etc)","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Live shows and entertainment, Shorter queue times and Express Pass benefits, Shopping and merchandise, Overall park atmosphere and theme",High quality and premium entertainment,Word of mouth,4,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions",Yes,1,"Yes, everything was clear","Better mobile optimisation, More detailed ride descriptions and photos/videos, Live updates on crowd levels and wait times",Yes,4,"Interactive park map, Show schedules and ride wait times",,Sesame Street Spaghetti Space Chase,Fun,Not applicable,,Puss in Boots,31 to 45 minutes,3,4,Yes,No,,5,3,2,1,4,Yes,Yes,Yes,4,No,Nil,Not applicable,"No, I did not",,,Nil,Maybe,,Purchase expresspass,Yes,It's fun
2/15/2025 21:22:22,25 - 34 years old,Student,April - June,Family (including children),Family outing,"Friends or family recommendations, Special events or themed attractions","Ticket pricing and affordability, Food options and prices",3,"Live shows and entertainment, Overall park atmosphere and theme",Exciting and thrilling rides,Social media,3,"Yes, but they did not influence my decision","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",No,3,"Yes, everything was clear","Better mobile optimisation, Faster loading times, More detailed ride descriptions and photos/videos, More user-friendly ticket booking process","No, I didn't find it necessary",,Not applicable (Did not use the website),,Transformers,It is trilling,Not applicable,,,46 to 60 minutes,1,2,No,Yes,4,1,2,3,4,5,No,No,,3,No,Nil,Not applicable,"No, I did not",3,3,Nil,No,It is expensive in general,Nil,No,Nil
2/15/2025 21:57:59,18 - 24 years old,Student,October - December,Family (including children),Family outing,Friends or family recommendations,Ticket pricing and affordability,4,Overall park atmosphere and theme,Exciting and thrilling rides,Word of mouth,5,"Yes, but they did not influence my decision",Family/group discounts,Yes,,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Not applicable (Did not use the website),,Transformers,"It was family friendly, not too scary",Not applicable,,Transformers,46 to 60 minutes,3,4,Yes,No,,1,4,3,2,5,No,No,Yes,2,No,NIL,Not applicable,"No, I did not",,,"
NIL",No,It is too repetitive after visiting a number of times,Organising large scale events during certain periods,Yes,It is worth visiting at least once
2/15/2025 21:59:55,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,"Positive online reviews, Reputation as a top theme park in Asia, Friends or family recommendations","Ticket pricing and affordability, Ride wait times and crowd levels",2,"Thrilling rides, Overall park atmosphere and theme",Exciting and thrilling rides,Word of mouth,4,"No, I haven't seen any ads","Discounted tickets, Family/group discounts",Yes,2,"Yes, everything was clear","More detailed ride descriptions and photos/videos, Live updates on crowd levels and wait times","No, I didn't know there was an app",,"Online ticket booking, Interactive park map",,Revenge of the Mummy,Fun ride,Not applicable,,,46 to 60 minutes,2,3,No,No,,1,5,2,4,3,Yes,Yes,,4,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,"Expensive tickets, long wait times",Shorter wait times,Yes,Can be fun for those who like theme parks
2/15/2025 22:16:29,18 - 24 years old,Student,October - December,"Friends, Romantic partner",Halloween horror night,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices, Accessibility and transportation",4,Overall park atmosphere and theme,Fun and family-friendly,Social media,5,Yes and they influenced my decision to visit,"Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",Yes,5,"Yes, everything was clear","Faster loading times, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Not applicable (Did not use the website),NIL,Transformers,Fun and futuristic. Doesnt involve height ,Not applicable,,Revenge of the Mummy,46 to 60 minutes,4,5,Yes,No,,1,3,2,4,5,No,No,Yes,4,No,NIL,Not applicable,"No, I did not",,5,NIL,Yes,,NIL,Yes,It is very fun and experience is very pleasant
2/15/2025 22:37:04,18 - 24 years old,Student,July - September,"Family (adults only), Romantic partner",Date/Romantic experience,Positive online reviews,"Ticket pricing and affordability, Ride wait times and crowd levels",5,Food and dining experience,High quality and premium entertainment,Word of mouth,4,"Yes, but they did not influence my decision",Seasonal event promotions,No,5,"Somewhat clear, but some details were missing",Live updates on crowd levels and wait times,"No, I didn't know there was an app",5,Not applicable (Did not use the website),,Transformers,short queue,"Transformers, Puss in Boots",,"CYLON, Revenge of the Mummy",46 to 60 minutes,5,5,No,No,5,5,4,3,2,1,Yes,Yes,Yes,5,Yes,nil,Yes,"No, I did not",5,5,Nil,Yes,,waiting time and express pass,Yes,nil
