Park,Event,Start,End
Universal Studios Florida,Halloween Horror Nights 12, 4 Oct 2002, 2 Nov 2002
Universal Studios Florida,Halloween Horror Nights 13, 3 Oct 2003, 1 Nov 2003
Universal Studios Florida,Halloween Horror Nights 14, 1 Oct 2004, 1 Nov 2004
Universal Studios Florida,Halloween Horror Nights 15, 7 Oct 2005, 5 Nov 2005
Universal Studios Florida,Halloween Horror Nights: Sweet 16, 29 Sep 2006, 31 Oct 2006
Universal Studios Florida,Halloween Horror Nights 17, 28 Sep 2007, 31 Oct 2007
Universal Studios Florida,Halloween Horror Nights 18, 3 Oct 2008, 1 Nov 2008
Universal Studios Florida,Halloween Horror Nights 19, 2 Oct 2009, 1 Nov 2009
Universal Studios Florida,Halloween Horror Nights 20, 24 Sep 2010, 31 Oct 2010
Universal Studios Florida,Halloween Horror Nights 21, 23 Sep 2011, 31 Oct 2011
Universal Studios Florida,Halloween Horror Nights 22, 21 Sep 2012, 31 Oct 2012
Universal Studios Florida,Halloween Horror Nights 23, 20 Sep 2013, 2 Nov 2013
Universal Studios Florida,Halloween Horror Nights 24, 19 Sep 2014, 1 Nov 2014
Universal Studios Florida,Halloween Horror Nights 25, 18 Sep 2015, 1 Nov 2015
Universal Studios Florida,Halloween Horror Nights 26, 16 Sep 2016, 31 Oct 2016
Universal Studios Florida,Halloween Horror Nights 27, 15 Sep 2017, 4 Nov 2017
Universal Studios Florida,Halloween Horror Nights 28, 14 Sep 2018, 3 Nov 2018
Universal Studios Florida,Halloween Horror Nights 29, 6 Sep 2019, 2 Nov 2019
Universal Studios Japan,Halloween Horror Nights , 14 Sep 2012, 11 Nov 2012
Universal Studios Japan,Halloween Horror Nights 2, 13 Sep 2013, 10 Nov 2013
Universal Studios Japan,Halloween Horror Nights 3, 19 Sep 2014, 30 Nov 2014
Universal Studios Japan,Halloween Horror Nights 4, 11 Sep 2015, 8 Nov 2015
Universal Studios Japan,Halloween Horror Nights 5, 9 Sep 2016, 9 Nov 2016
Universal Studios Japan,Halloween Horror Nights 6, 9 Sep 2017, 5 Nov 2017
Universal Studios Japan,Halloween Horror Nights 7, 8 Sep 2018, 4 Nov 2018
Universal Studios Japan,Halloween Horror Nights 8, 7 Sep 2019, 4 Nov 2019
Universal Studios Japan,Halloween Horror Nights 9, 10 Sep 2021, 7 Nov 2021
Universal Studios Singapore,Halloween Horror Nights 1, 21 Oct 2011, 30 Oct 2011
Universal Studios Singapore,Halloween Horror Nights 2, 19 Oct 2012, 3 Nov 2012
Universal Studios Singapore,Halloween Horror Nights 3, 4 Oct 2013, 2 Nov 2013
Universal Studios Singapore,Halloween Horror Nights 4, 3 Oct 2014, 1 Nov 2014
Universal Studios Singapore,Halloween Horror Nights 5, 2 Oct 2015, 1 Nov 2015
Universal Studios Singapore,Halloween Horror Nights 6, 30 Sep 2016, 31 Oct 2016
Universal Studios Singapore,Halloween Horror Nights 7, 29 Sep 2017, 29 Oct 2017
Universal Studios Singapore,Halloween Horror Nights 8, 27 Sep 2018, 31 Oct 2018
Universal Studios Singapore,Halloween Horror Nights 9, 27 Sep 2019, 2 Nov 2019
Universal Studios Florida,Revenge of the Mummy, 21 May 2004,Ongoing
Universal Studios Florida,The Simpsons Ride, 15 May 2008,Ongoing
Universal Studios Florida,Hollywood Rip Ride Rockit, 19 Aug 2009,Ongoing
Universal Studios Florida,The Wizarding World of Harry Potter – Hogsmeade, 18 Jun 2010,Ongoing
Universal Studios Florida,Despicable Me: Minion Mayhem, 2 Jul 2012,Ongoing
Universal Studios Florida,The Wizarding World of Harry Potter – Diagon Alley, 8 Jul 2014,Ongoing
Universal Studios Florida,Skull Island: Reign of Kong, 13 Jul 2016,Ongoing
Universal Studios Florida,Fast & Furious – Supercharged, 23 Apr 2018,Ongoing
Universal Studios Florida,Hagrid's Magical Creatures Motorbike Adventure, 13 Jun 2019,Ongoing
Universal Studios Florida,Temporary closure (COVID-19), 16 Mar 2020, 5 Jun 2020
Universal Studios Florida,Park reopening (Controlled measures), 5 Jun 2020,12 Feb 2022
Universal Studios Singapore,Park Opening (Soft opening), 18 Mar 2010, 18 Mar 2010
Universal Studios Singapore,Park Opening (Grand opening), 28 May 2011, 28 May 2011
Universal Studios Singapore,Battlestar Galactica: HUMAN vs. CYLON, 18 Mar 2010, 24 Mar 2010
Universal Studios Singapore,Battlestar Galactica (Reopening), 21 Feb 2011, 20 Jul 2013
Universal Studios Singapore,Battlestar Galactica (2nd reopening), 27 May 2015,Ongoing
Universal Studios Singapore,Transformers: The Ride, 3 Dec 2011,Ongoing
Universal Studios Singapore,Sesame Street Spaghetti Space Chase, 1 Mar 2013,Ongoing
Universal Studios Singapore,The Wizarding World of Harry Potter – Hogsmeade, 18 Mar 2014,Ongoing
Universal Studios Singapore,Puss in Boots' Giant Journey, 8 Apr 2015,Ongoing
Universal Studios Singapore,Temporary closure (COVID-19), 6 Apr 2020, 1 Jul 2020
Universal Studios Singapore,Park reopening (Controlled measures), 1 Jul 2020, 26 Apr 2022
Universal Studios Japan,The Wizarding World of Harry Potter, 15 Jul 2014,Ongoing
Universal Studios Japan,Minion Park, 21 Apr 2017,Ongoing
Universal Studios Japan,Temporary closure (COVID-19), 29 Feb 2020, 8 Jun 2020
Universal Studios Japan,Park reopening (Controlled measures), 8 Jun 2020,20 Jul 2020
Universal Studios Japan,Super Nintendo World, 18 Mar 2021,Ongoing
