Date,Visitor_ID,Loyalty_Member,Age,Gender,Theme_Zone_Visited,Attraction_Times,Average_Queue_Time,Restaurant_Spending,Merchandise_Spending,Total_Spending
2024-04-12,bd40a3e8-e445-4e5a-9393-0cc1c198bbbb,Yes,8,Male,"['New York', 'Ancient Egypt', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 11.0, 'Queue_Time': 10.41, 'Check_Out': 11.42}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 11.42, 'Queue_Time': 16.08, 'Check_Out': 11.86}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 11.86, 'Queue_Time': 12.79, 'Check_Out': 12.2}]",13.09,12.74,0.00,12.74
2024-02-20,affcc925-7347-4e80-8dc4-57f9cb8e72c1,No,61,Male,"['Hollywood', 'New York', 'Sci-Fi City', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 10.0, 'Queue_Time': 11.95, 'Check_Out': 10.4}, {'Attraction': 'Transformers: The Ride', 'Check_In': 10.4, 'Queue_Time': 28.19, 'Check_Out': 10.99}, {'Attraction': 'Canopy Flyer', 'Check_In': 10.99, 'Queue_Time': 20.4, 'Check_Out': 11.51}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 11.51, 'Queue_Time': 28.79, 'Check_Out': 12.22}]",22.33,15.53,34.12,49.65
2024-07-08,b3d22548-02f4-44ec-8777-9af9dddf047a,No,43,Female,"['Hollywood', 'Ancient Egypt', 'Far Far Away']","[{'Attraction': 'Revenge of the Mummy', 'Check_In': 12.0, 'Queue_Time': 40.7, 'Check_Out': 12.79}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 12.79, 'Queue_Time': 70.3, 'Check_Out': 14.2}]",55.50,0.00,0.00,0.00
2024-07-19,2cd6ed89-268e-4694-b45b-3c02c7c04320,No,24,Male,"['New York', 'Sci-Fi City', 'Ancient Egypt', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 13.0, 'Queue_Time': 76.09, 'Check_Out': 14.39}, {'Attraction': 'Battlestar Galactica: CYLON', 'Check_In': 14.39, 'Queue_Time': 18.79, 'Check_Out': 14.82}, {'Attraction': 'Battlestar Galactica: HUMAN', 'Check_In': 14.82, 'Queue_Time': 27.92, 'Check_Out': 15.45}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 15.45, 'Queue_Time': 14.99, 'Check_Out': 15.85}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 15.85, 'Queue_Time': 11.54, 'Check_Out': 16.17}]",29.87,15.58,0.00,15.58
2024-05-13,d100e0c6-56b8-4483-9b70-ab3ae0dee379,No,28,Male,"['Hollywood', 'New York', 'Ancient Egypt', 'The Lost World']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 14.0, 'Queue_Time': 27.21, 'Check_Out': 14.54}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 14.54, 'Queue_Time': 12.4, 'Check_Out': 14.88}, {'Attraction': 'Canopy Flyer', 'Check_In': 14.88, 'Queue_Time': 20.38, 'Check_Out': 15.42}]",20.00,15.83,0.00,15.83
2024-10-21,1fefd1a9-1d97-4a9c-963b-d31757bb2695,Yes,57,Male,"['New York', 'Ancient Egypt', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 10.0, 'Queue_Time': 15.57, 'Check_Out': 10.49}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 10.49, 'Queue_Time': 18.96, 'Check_Out': 10.99}, {'Attraction': 'Canopy Flyer', 'Check_In': 10.99, 'Queue_Time': 17.39, 'Check_Out': 11.4}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 11.4, 'Queue_Time': 17.98, 'Check_Out': 11.92}]",17.48,0.00,40.67,40.67
2024-12-14,8316414b-4792-48b5-81cb-fe9555829b93,No,35,Male,"['Hollywood', 'New York', 'Sci-Fi City', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 12.0, 'Queue_Time': 45.67, 'Check_Out': 13.0}, {'Attraction': 'Battlestar Galactica: CYLON', 'Check_In': 13.0, 'Queue_Time': 67.76, 'Check_Out': 14.3}, {'Attraction': 'Battlestar Galactica: HUMAN', 'Check_In': 14.3, 'Queue_Time': 14.84, 'Check_Out': 14.65}, {'Attraction': 'Transformers: The Ride', 'Check_In': 14.65, 'Queue_Time': 27.94, 'Check_Out': 15.34}, {'Attraction': 'Canopy Flyer', 'Check_In': 15.34, 'Queue_Time': 16.98, 'Check_Out': 15.83}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 15.83, 'Queue_Time': 25.6, 'Check_Out': 16.45}]",33.13,10.97,0.00,10.97
2024-12-05,d0149fbd-80e1-4f9b-97fe-687ea0b96ad4,No,28,Female,"['New York', 'Ancient Egypt', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 10.0, 'Queue_Time': 29.89, 'Check_Out': 10.61}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 10.61, 'Queue_Time': 24.88, 'Check_Out': 11.23}, {'Attraction': 'Canopy Flyer', 'Check_In': 11.23, 'Queue_Time': 22.73, 'Check_Out': 11.73}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 11.73, 'Queue_Time': 28.12, 'Check_Out': 12.36}]",26.40,13.87,0.00,13.87
2024-11-12,d9ea4280-f0f2-4303-9ad3-fde71b0a2541,Yes,48,Female,"['Hollywood', 'New York', 'Sci-Fi City', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 14.0, 'Queue_Time': 28.57, 'Check_Out': 14.63}, {'Attraction': 'Transformers: The Ride', 'Check_In': 14.63, 'Queue_Time': 17.7, 'Check_Out': 15.15}, {'Attraction': 'Canopy Flyer', 'Check_In': 15.15, 'Queue_Time': 21.14, 'Check_Out': 15.74}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 15.74, 'Queue_Time': 11.94, 'Check_Out': 16.13}]",19.84,0.00,40.88,40.88
2024-09-29,938b11c4-df7e-4fc8-8050-14ca1bf274b7,No,57,Female,"['Ancient Egypt', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Revenge of the Mummy', 'Check_In': 11.0, 'Queue_Time': 22.56, 'Check_Out': 11.49}, {'Attraction': 'Canopy Flyer', 'Check_In': 11.49, 'Queue_Time': 27.73, 'Check_Out': 12.04}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 12.04, 'Queue_Time': 73.6, 'Check_Out': 13.41}]",41.30,15.89,0.00,15.89
