Date,Visitor_ID,Loyalty_Member,Age,Gender,Theme_Zone_Visited,Attraction_Times,Average_Queue_Time,Restaurant_Spending,Merchandise_Spending,Total_Spending
2024-04-12,00899c1b-2302-4b06-a341-52e9c848d829,Yes,20,Male,"['New York', 'Ancient Egypt', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 11.0, 'Queue_Time': 48.32, 'Check_Out': 11.89}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 11.89, 'Queue_Time': 27.27, 'Check_Out': 12.46}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 12.46, 'Queue_Time': 40.99, 'Check_Out': 13.3}]",38.86,13.67,36.14,49.81
2024-09-27,180a767b-fc1e-455d-babd-62fd2abddf8a,No,16,Male,"['Hollywood', 'New York', 'Ancient Egypt', 'The Lost World']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 13.0, 'Queue_Time': 22.6, 'Check_Out': 13.62}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 13.62, 'Queue_Time': 32.18, 'Check_Out': 14.25}, {'Attraction': 'Canopy Flyer', 'Check_In': 14.25, 'Queue_Time': 37.61, 'Check_Out': 14.98}]",30.80,10.21,0.00,10.21
2024-02-19,8f026436-b18b-4872-836c-4565a4367b23,No,39,Female,"['Hollywood', 'Sci-Fi City', 'Ancient Egypt', 'The Lost World']","[{'Attraction': 'Battlestar Galactica: CYLON', 'Check_In': 12.0, 'Queue_Time': 21.81, 'Check_Out': 12.5}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 12.5, 'Queue_Time': 53.15, 'Check_Out': 13.53}, {'Attraction': 'Canopy Flyer', 'Check_In': 13.53, 'Queue_Time': 41.71, 'Check_Out': 14.33}]",38.89,0.00,50.72,50.72
2024-12-09,9a7a38bf-f568-4f5a-860e-e051dc729bd2,No,35,Male,"['Hollywood', 'New York', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 11.0, 'Queue_Time': 44.93, 'Check_Out': 11.89}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 11.89, 'Queue_Time': 33.01, 'Check_Out': 12.64}]",38.97,0.00,0.00,0.00
2024-08-14,d8fee546-4a62-4b14-a989-167203fc3004,No,43,Female,"['New York', 'Ancient Egypt', 'The Lost World']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 11.0, 'Queue_Time': 21.02, 'Check_Out': 11.45}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 11.45, 'Queue_Time': 42.53, 'Check_Out': 12.36}, {'Attraction': 'Canopy Flyer', 'Check_In': 12.36, 'Queue_Time': 44.18, 'Check_Out': 13.27}]",35.91,15.66,0.00,15.66
2024-08-30,b7cdf310-16d6-4d3c-be7c-b309bcdf868a,No,69,Female,"['Hollywood', 'Sci-Fi City', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Transformers: The Ride', 'Check_In': 12.0, 'Queue_Time': 56.27, 'Check_Out': 13.07}, {'Attraction': 'Battlestar Galactica: HUMAN', 'Check_In': 13.07, 'Queue_Time': 45.91, 'Check_Out': 13.92}, {'Attraction': 'Canopy Flyer', 'Check_In': 13.92, 'Queue_Time': 32.19, 'Check_Out': 14.56}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 14.56, 'Queue_Time': 39.39, 'Check_Out': 15.42}]",43.44,11.46,34.59,46.05
2024-08-20,dc7dbb22-a0b4-42c3-961d-ec55cd052a25,No,42,Male,"['Sci-Fi City', 'Ancient Egypt', 'The Lost World']","[{'Attraction': 'Transformers: The Ride', 'Check_In': 13.0, 'Queue_Time': 59.06, 'Check_Out': 14.14}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 14.14, 'Queue_Time': 56.33, 'Check_Out': 15.2}, {'Attraction': 'Canopy Flyer', 'Check_In': 15.2, 'Queue_Time': 39.58, 'Check_Out': 16.11}]",51.66,14.03,0.00,14.03
2024-05-02,0ab1703d-5b97-4e47-b2ce-352bc6318ac9,No,67,Male,"['Hollywood', 'New York', 'Sci-Fi City']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 9.0, 'Queue_Time': 47.83, 'Check_Out': 10.02}, {'Attraction': 'Transformers: The Ride', 'Check_In': 10.02, 'Queue_Time': 33.95, 'Check_Out': 10.69}, {'Attraction': 'Battlestar Galactica: CYLON', 'Check_In': 10.69, 'Queue_Time': 57.62, 'Check_Out': 11.8}]",46.47,15.03,0.00,15.03
2024-05-30,10d83c63-9a39-49db-967f-d54a629bedc9,Yes,18,Female,"['Hollywood', 'New York', 'Sci-Fi City', 'Ancient Egypt', 'The Lost World']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 9.0, 'Queue_Time': 59.85, 'Check_Out': 10.24}, {'Attraction': 'Transformers: The Ride', 'Check_In': 10.24, 'Queue_Time': 33.56, 'Check_Out': 10.94}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 10.94, 'Queue_Time': 51.2, 'Check_Out': 11.99}, {'Attraction': 'Canopy Flyer', 'Check_In': 11.99, 'Queue_Time': 55.94, 'Check_Out': 13.1}]",50.14,10.61,0.00,10.61
2024-12-14,66c0f1fe-419b-42b5-90d6-64bb947341c1,No,33,Male,"['Hollywood', 'Sci-Fi City', 'Ancient Egypt', 'The Lost World']","[{'Attraction': 'Transformers: The Ride', 'Check_In': 12.0, 'Queue_Time': 46.3, 'Check_Out': 12.95}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 12.95, 'Queue_Time': 30.61, 'Check_Out': 13.58}, {'Attraction': 'Canopy Flyer', 'Check_In': 13.58, 'Queue_Time': 35.72, 'Check_Out': 14.41}]",37.54,0.00,0.00,0.00
